dcls_month,fin_co_no,fin_prdt_cd,intr_rate_type,intr_rate_type_nm,rsrv_type,rsrv_type_nm,save_trm,intr_rate,intr_rate2,kor_co_nm,fin_prdt_nm,join_way,mtrt_int,spcl_cnd,join_deny,join_member,etc_note,max_limit,dcls_strt_day,dcls_end_day,fin_co_subm_day
202508,0010345,HK00104,S,단리,F,자유적립식,6,3.0,6.5,애큐온저축은행,청년플랜적금,스마트폰,"만기후 1개월 이내 해지시 : 당초 약정금리
만기후 1개월 초과 이후 해지 시 : 보통예금 이율","최대 연3.5% 우대 금리 적용
※우대금리 적용조건
①목표금액 달성 우대: 연 2.5%
②모바일뱅킹 거래 실적 우대(3회이상) : 연 1.0%",일부제한,만 19세 이상 ~ 만 39세 이하 개인,"가입금액 및 불입한도 :
1천원 이상 ~50만원 이하 
1인 1계좌
목표달성 특별중도해지 : 이 적금 가입시 설정한 목표금액 달성후 목표달성일 다음날 부터 만기일 도래전 해지 요청시 약정이율 적용",500000.0,20250714,,202507141303
202508,0010345,HK00104,S,단리,F,자유적립식,12,3.5,7.0,애큐온저축은행,청년플랜적금,스마트폰,"만기후 1개월 이내 해지시 : 당초 약정금리
만기후 1개월 초과 이후 해지 시 : 보통예금 이율","최대 연3.5% 우대 금리 적용
※우대금리 적용조건
①목표금액 달성 우대: 연 2.5%
②모바일뱅킹 거래 실적 우대(3회이상) : 연 1.0%",일부제한,만 19세 이상 ~ 만 39세 이하 개인,"가입금액 및 불입한도 :
1천원 이상 ~50만원 이하 
1인 1계좌
목표달성 특별중도해지 : 이 적금 가입시 설정한 목표금액 달성후 목표달성일 다음날 부터 만기일 도래전 해지 요청시 약정이율 적용",500000.0,20250714,,202507141303
202508,0010345,HK00104,M,복리,F,자유적립식,6,3.0,6.5,애큐온저축은행,청년플랜적금,스마트폰,"만기후 1개월 이내 해지시 : 당초 약정금리
만기후 1개월 초과 이후 해지 시 : 보통예금 이율","최대 연3.5% 우대 금리 적용
※우대금리 적용조건
①목표금액 달성 우대: 연 2.5%
②모바일뱅킹 거래 실적 우대(3회이상) : 연 1.0%",일부제한,만 19세 이상 ~ 만 39세 이하 개인,"가입금액 및 불입한도 :
1천원 이상 ~50만원 이하 
1인 1계좌
목표달성 특별중도해지 : 이 적금 가입시 설정한 목표금액 달성후 목표달성일 다음날 부터 만기일 도래전 해지 요청시 약정이율 적용",500000.0,20250714,,202507141303
202508,0010345,HK00104,M,복리,F,자유적립식,12,3.5,7.0,애큐온저축은행,청년플랜적금,스마트폰,"만기후 1개월 이내 해지시 : 당초 약정금리
만기후 1개월 초과 이후 해지 시 : 보통예금 이율","최대 연3.5% 우대 금리 적용
※우대금리 적용조건
①목표금액 달성 우대: 연 2.5%
②모바일뱅킹 거래 실적 우대(3회이상) : 연 1.0%",일부제한,만 19세 이상 ~ 만 39세 이하 개인,"가입금액 및 불입한도 :
1천원 이상 ~50만원 이하 
1인 1계좌
목표달성 특별중도해지 : 이 적금 가입시 설정한 목표금액 달성후 목표달성일 다음날 부터 만기일 도래전 해지 요청시 약정이율 적용",500000.0,20250714,,202507141303
202508,0010346,31000,S,단리,S,정액적립식,36,3.8,3.8,OSB저축은행,정기적금,"영업점,인터넷,스마트폰","- 만기 후 1개월 이내: 가입 시 약정금리와 만기 시 동일 상품의 금리 중 낮은 금리 적용
- 만기 후 1개월 경과: 보통예금 금리(0.2%)",없음,제한없음,제한없음,"-월 불입금 1만원 이상
-6개월 이상 ~ 60개월 까지 (월 단위 가능)
-만기시 이자지급",,20250625,,202506250841
202508,0010346,31000,S,단리,S,정액적립식,24,3.7,3.7,OSB저축은행,정기적금,"영업점,인터넷,스마트폰","- 만기 후 1개월 이내: 가입 시 약정금리와 만기 시 동일 상품의 금리 중 낮은 금리 적용
- 만기 후 1개월 경과: 보통예금 금리(0.2%)",없음,제한없음,제한없음,"-월 불입금 1만원 이상
-6개월 이상 ~ 60개월 까지 (월 단위 가능)
-만기시 이자지급",,20250625,,202506250841
202508,0010346,31000,S,단리,S,정액적립식,12,3.6,3.6,OSB저축은행,정기적금,"영업점,인터넷,스마트폰","- 만기 후 1개월 이내: 가입 시 약정금리와 만기 시 동일 상품의 금리 중 낮은 금리 적용
- 만기 후 1개월 경과: 보통예금 금리(0.2%)",없음,제한없음,제한없음,"-월 불입금 1만원 이상
-6개월 이상 ~ 60개월 까지 (월 단위 가능)
-만기시 이자지급",,20250625,,202506250841
202508,0010346,31000,S,단리,S,정액적립식,6,2.2,2.2,OSB저축은행,정기적금,"영업점,인터넷,스마트폰","- 만기 후 1개월 이내: 가입 시 약정금리와 만기 시 동일 상품의 금리 중 낮은 금리 적용
- 만기 후 1개월 경과: 보통예금 금리(0.2%)",없음,제한없음,제한없음,"-월 불입금 1만원 이상
-6개월 이상 ~ 60개월 까지 (월 단위 가능)
-만기시 이자지급",,20250625,,202506250841
202508,0010346,31003,S,단리,F,자유적립식,12,2.9,2.9,OSB저축은행,프리스타일적금,"영업점,인터넷,스마트폰","- 만기 후 1개월 이내: 가입 시 약정금리와 만기 시 동일 상품의 금리 중 낮은 금리 적용
- 만기 후 1개월 경과: 보통예금 금리(0.2%)",없음,제한없음,제한없음,"-월 불입금 1만원 이상
-12개월 이상 ~ 36개월 까지 (월 단위 가능)
-만기시 이자지급
-월중 입금액은 계약금액의 10%를 초과할 수 없으며, 만기일로부터 1개월 이내는 납입불가",,20250625,,202506250841
202508,0010346,31003,S,단리,F,자유적립식,24,2.9,2.9,OSB저축은행,프리스타일적금,"영업점,인터넷,스마트폰","- 만기 후 1개월 이내: 가입 시 약정금리와 만기 시 동일 상품의 금리 중 낮은 금리 적용
- 만기 후 1개월 경과: 보통예금 금리(0.2%)",없음,제한없음,제한없음,"-월 불입금 1만원 이상
-12개월 이상 ~ 36개월 까지 (월 단위 가능)
-만기시 이자지급
-월중 입금액은 계약금액의 10%를 초과할 수 없으며, 만기일로부터 1개월 이내는 납입불가",,20250625,,202506250841
